id,sub detector,depth,ieta,iphi
1125123073,1,1,-1,1
1125123074,1,1,-1,2
1125123075,1,1,-1,3
1125123076,1,1,-1,4
1125123077,1,1,-1,5
1125123078,1,1,-1,6
1125123079,1,1,-1,7
1125123080,1,1,-1,8
1125123081,1,1,-1,9
1125123082,1,1,-1,10
1125123083,1,1,-1,11
1125123084,1,1,-1,12
1125123085,1,1,-1,13
1125123086,1,1,-1,14
1125123087,1,1,-1,15
1125123088,1,1,-1,16
1125123089,1,1,-1,17
1125123090,1,1,-1,18
1125123091,1,1,-1,19
1125123092,1,1,-1,20
1125123093,1,1,-1,21
1125123094,1,1,-1,22
1125123095,1,1,-1,23
1125123096,1,1,-1,24
1125123097,1,1,-1,25
1125123098,1,1,-1,26
1125123099,1,1,-1,27
1125123100,1,1,-1,28
1125123101,1,1,-1,29
1125123102,1,1,-1,30
1125123103,1,1,-1,31
1125123104,1,1,-1,32
1125123105,1,1,-1,33
1125123106,1,1,-1,34
1125123107,1,1,-1,35
1125123108,1,1,-1,36
1125123109,1,1,-1,37
1125123110,1,1,-1,38
1125123111,1,1,-1,39
1125123112,1,1,-1,40
1125123113,1,1,-1,41
1125123114,1,1,-1,42
1125123115,1,1,-1,43
1125123116,1,1,-1,44
1125123117,1,1,-1,45
1125123118,1,1,-1,46
1125123119,1,1,-1,47
1125123120,1,1,-1,48
1125123121,1,1,-1,49
1125123122,1,1,-1,50
1125123123,1,1,-1,51
1125123124,1,1,-1,52
1125123125,1,1,-1,53
1125123126,1,1,-1,54
1125123127,1,1,-1,55
1125123128,1,1,-1,56
1125123129,1,1,-1,57
1125123130,1,1,-1,58
1125123131,1,1,-1,59
1125123132,1,1,-1,60
1125123133,1,1,-1,61
1125123134,1,1,-1,62
1125123135,1,1,-1,63
1125123136,1,1,-1,64
1125123137,1,1,-1,65
1125123138,1,1,-1,66
1125123139,1,1,-1,67
1125123140,1,1,-1,68
1125123141,1,1,-1,69
1125123142,1,1,-1,70
1125123143,1,1,-1,71
1125123144,1,1,-1,72
1125124097,1,1,-2,1
1125124098,1,1,-2,2
1125124099,1,1,-2,3
1125124100,1,1,-2,4
1125124101,1,1,-2,5
1125124102,1,1,-2,6
1125124103,1,1,-2,7
1125124104,1,1,-2,8
1125124105,1,1,-2,9
1125124106,1,1,-2,10
1125124107,1,1,-2,11
1125124108,1,1,-2,12
1125124109,1,1,-2,13
1125124110,1,1,-2,14
1125124111,1,1,-2,15
1125124112,1,1,-2,16
1125124113,1,1,-2,17
1125124114,1,1,-2,18
1125124115,1,1,-2,19
1125124116,1,1,-2,20
1125124117,1,1,-2,21
1125124118,1,1,-2,22
1125124119,1,1,-2,23
1125124120,1,1,-2,24
1125124121,1,1,-2,25
1125124122,1,1,-2,26
1125124123,1,1,-2,27
1125124124,1,1,-2,28
1125124125,1,1,-2,29
1125124126,1,1,-2,30
1125124127,1,1,-2,31
1125124128,1,1,-2,32
1125124129,1,1,-2,33
1125124130,1,1,-2,34
1125124131,1,1,-2,35
1125124132,1,1,-2,36
1125124133,1,1,-2,37
1125124134,1,1,-2,38
1125124135,1,1,-2,39
1125124136,1,1,-2,40
1125124137,1,1,-2,41
